thal|to go past, to go beyond (this appears to originally be the intransitive form of {gtal} — cf. the English “I’m gonna hit the store”)\nIn the Kham dialect, this verb is used simply to mean “to go”, and is also used as a past tense auxiliary.
ge|A common suffix for adjectives; has several different meanings. Has 10 forms: {ge nge de ne be me 'e re le se}.\nSee the definition in the {dag yig gsar bsgrigs}.
gang|One.\nObligatorily used instead of {gcig} after counter words like {phor ba}, {sder ma}, {rkang}, etc.\ncf. {do}
do|Two.\nObligatorily used instead of {gnyis} after counter words like {phor ba}, {sder ma}, {rkang}, etc.\ncf. {gang}\n(There are no special counter numbers beyond this point.)
nge|See {ge}.
de|See {ge}.
ne|See {ge}.
be|See {ge}.
me|See {ge}.
'e|See {ge}.
re|See {ge}.
le|See {ge}.
se|See {ge}.
lung|1) valley\n2) quote, citation (cf. {lung 'dren}) — the idea of a “reading transmission” is basically just that you are receiving the “quote” of a text.\nNote: This word seems to have originally meant something like “source”, which would naturally lead to its meaning of “quote” and its meaning of “place where someone is from” in the common phrase {khyed rang lung pa ga nas yin/}. This is also supported morphologically through l-/phy- alternation in {lung}/{phyung}. Similar alternation is seen in the pairs {phyogs}/{logs} (side), {phyag}/{lag} (hand), and {phye}/{le} (division).
rjes 'ded gtong|X {gi} ___ = to chase X, to pursue X
si ling|silk\n(used metaphorically in apposition with words for “hair” to refer to beautiful straight hair, like the English term “silky hair”)\ncf. {si legs}
mig 'tshum 'tshum byed|to laugh with the eyes (?)
lham chung|little shoes (e.g. on a doll)
'khyer|to take
snang ba 'gro|to look pleasing
ngu shar rgyag|to start to cry
ya ya|alright
yang min na|or, alternatively
mig zung|eyes
kha slog|to turn away
'dzum tsam byed|to make a slight smile
smug pa'i bu|snail
sa 'bu|ladybug
zir|an onomatopoeia for the buzzing of a bee
'dred brdar shor|to slip
gan rkyal log|to flip onto one’s back
'gul skyod byed|to move (e.g. your body)\nsee also {'gul skyod rgyag}, {'gul skyod gtong}
'bud rgyag gtong|to push\nsee also {rbud rgyag gtong}
lcags gzeb|metal cage
skyon byung ba|to be harmed
'bud sla ba|loose, lit. “easy to remove” (said of a tooth)
'gul skyod rgyag|to move, to wiggle\nsee also {'gul skyod byed}, {'gul skyod gtong}\nSimplex verb form: {'gul}
ya mtshan skye|to be surprised
dngangs skrag skye|to be afraid (no explicit object needed)
rbud rgyag gtong|to push\nsee also {'bud rgyag gtong}
gog 'gro|to fall out, fall off\nsee {bkog}, {dgog}, {'gog}
sne|end (e.g. of a rope)\nsee also {sne mo}
sne mo|end (e.g. of a rope)\nsee also {sne}
sdom|to tie; a summary.\n(The sense of “summary” is surely derived from the idea of tying many things together)
sgo lung|doorknob
dbugs ring gtong|to sigh
ya yud tsha po|risky, adventurous
thabs shes|1) idea (in the sense of “plan”)\n2) a method
'khyer|1) to bring (when used as a subordinate verb in constructions like {khyer nas 'gro})\n2) to take (when used as the main verb of the sentence)
'od 'tsher|to shine\nsee also {bkrag gdangs 'tsher}
tsig khung|mouse hole
khyur mid gtong|to swallow\nSimplex verb form: {mid}
rgyugs shar glod|to run, to start running\nsee also {rgyugs}, {rgyugs 'gro}, {rgyugs yong}
rgyugs 'gro|to run (out / away from someone)\nsee also {rgyugs}, {rgyugs yong}, {rgyugs shar glod}
rgyugs yong|to run (in / towards someone)\nsee also {rgyugs}, {rgyugs 'gro}, {rgyugs shar glod}
ab rdo|apdo, a game played by throwing small stones into the air and catching them before they hit the ground
rtsed thang|playground
sgrug|to pick up\nsee also {yar sgrug}
yar sgrug|to pick up\nsee also {sgrug}
bzo lta|appearance\n(pronounced as “sopta”)
ab rdo rtse|to play apdo
tshon mdog|colour\nsee also {kha mdog}, {kha dog}, {tshon gzhi}
kha mdog|colour\nsee also {kha dog}, {tshon mdog}, {tshon gzhi}
kha dog|colour (literary term)\nsee also {kha mdog}, {kha dog}, {tshon mdog}, {tshon gzhi}
tshon gzhi|colour\nsee also {tshon mdog}, {kha dog}
zag|to fall (e.g. from the air)\nsee also {ril}, {babs}, {lhung}, {gzar}
ril|to fall down (said of people, trees, etc.)\n(This refers to falling from an upright position, not falling from the sky)\nsee also {zag}, {babs}, {lhung}, {gzar}
babs|1) to fall (said of snow, rain, etc.) — this refers to falling from the sky/air.\n2) to descend (intentionally) — said of planes, people, etc.\nsee also {zag}, {ril}, {lhung}, {gzar}
gzar|to fall, to plummet (into an abyss, off a roof, off a ledge, etc. and also said of planes falling unintentionally)\n(This is the usual spoken form of {lhung})\nsee also {zag}, {ril}, {babs}, {lhung}
lhung|to fall, to plummet (into an abyss, off a roof, off a ledge, etc. and also said of fruit)\nsee also {zag}, {ril}, {babs}, {gzar}
rtse res|turn (in a game)
rtse res rtse|to play your turn (in a game)
mjug rdzogs|to finish, to be over
ga re byas song /|What’s happened to you?\n(This is phrased non-intentionally, implying that something happened to the person, not that they did something themselves)
tsha bo lo lo|?
hur thag|very intense/hard (when said of work)
rgyags tshad|until full\n(used as an adverb placed before the verb)
tshod med|unlimited\nsee also {tshad med}
tshad med|unlimited\nsee also {tshod med}
za ma|food\nsee also {kha lag}, {zhal lag}, {lto chas}
kha lag|food (non-honorific)\nfor the honorific, see {zhal lag}.\nsee also {za ma}, {lto chas}
zhal lag|food (honorific)\nfor the non-honorific, see {kha lag}.\nSee also {za ma}, {lto chas}
lto chas|food\nsee also {kha lag}, {zhal lag}, {za ma}
sku mkhyen|1) please\n2) oh my god
byas tsang|therefore\nsame meaning as {byas tsang ka}, {de 'dra yin tsang}, {de 'dra song tsang}, {der brten}, {song tsang}, etc.
nyes rdung gtong|to beat\n(this is a generic verb, not necessarily said of criminals. For example, in the children’s story {mgrin bzang bong bu/} this verb is used to describe farmers beating a donkey.)
drud|to drag
'dod pa tshim|to be satisfied
da yin na 'grigs song /|1) Hey now, that’s enough.\n2) Finally!\nsee also {da 'grig song /}
