tshong ra|mall\n(also called {khrom gzigs khang}, {khrom gzigs khang chen})
brgyud skul|share (e.g. a post on social media)
brgyud skul byed|to share (e.g. a post on social media)\ncf. {brgyud spel byed}
brgyud spel byed|to share (e.g. a post on social media)\ncf. {brgyud skul byed}
dam 'bul|swearing-in (of an official)
bzhugs stod grwa tshang|Gyuetoe Order in Dharamsala; this word is short for {bzhugs sgar stod rgyud grwa tshang}
stod rgyud grwa tshang|Toegyue Order in Dharamsala, also called Gyuetoe {rgyud stod}
rgyud stod grwa tshang|Gyuetoe Order in Dharamsala; also called Toegyue {stod rgyud}
yig btags byed|to type (on a keyboard)
jo stod sum cu pa|Praise to Atisha in 30 verses (a text by Dromtoenpa)
