ཀ་ཁ་|alphabet
འདེད་|(TR) to drive away\nv1 འདེད་ v2 དེད་ v3 འདེད་ v4 འདེད་
དེད་|see འདེད་
འདེབས་|1) to cast, throw; 2) to establish; ཆོ་ངེས་འདེབས་ to lament; ས་བོན་འདེབས་ to sow seeds; སོ་སྒྲ་འདེབས་ to whistle; གསོལ་བ་འདེབས་ to submit a request\nv1 འདེབས་ v2 བཏབ་ v3 གདབ་ v4 ཐོབ་
བཏབ་|see འདེབས་
གདབ་|see འདེབས་
ཐོབ་|see འདེབས་
འདོགས་|(TR) to bind, to attach; ཕན་འདོགས་ to render service\nv1 འདོགས་ v2 བཏགས་ v3 གདགས་ v4 ཐོགས་
བཏགས་|see འདོགས་
གདགས་|see འདོགས་
ཐོགས་|see འདོགས་
འདོང་|(INTR) to go\nv1 འདོང་ v2 དོང་ v3 འདོང་ v4 དོང་
དོང་|see འདོང་
དོང་|see འདོང་
འདོད་|(TR) to wish; to desire; (MOD) to wish, want
འདོད་ཆགས་|passion, lust
འདོད་པ་|passion
འདོད་ཡོན་|desired goods
འདོན་|(TR) 1) to utter; 2) to obtain, to extract; 3) to put, to place out; མགོ་འདོན་ to sustain; to take care; མཆི་མ་འདོན་ to shed tears\nv1 འདོན་ v2 བཏོན་ v3 གདོན་ v4 ཐོན་
བཏོན་|see འདོན་
གདོན་|see འདོན་
ཐོན་|see འདོན་
འདྲ་|(INTR) to be similar, to be like, to resemble (+ COM)
འདྲི་|(TR) to ask\nv1 འདྲི་ v2 དྲིས་ v3 འདྲི་ v4 འདྲི་
དྲིས་|see འདྲི་
འདྲིལ་|(TR) 1) to wrap up; 2) to summarise; གཅིག་ཏུ་འདྲིལ་ to unite\nv1 འདྲིལ་ v2 དྲིལ་ v3 འདྲིལ་ v4 འདྲིལ་
དྲིལ་|see འདྲིལ་
འདྲེ་|(INTR) to be mixed with\nv1 འདྲེ་ v2 འདྲེས་ v3 འདྲེ་ v4 འདྲེ་
འདྲེས་|see འདྲེ་
འདྲེན་|(TR) 1) to pull; 2) to lead; གདན་འདྲེན་ to invite\nv1 འདྲེན་ v2 དྲངས་ v3 དྲང་ v4 དྲོངས་
དྲངས་|see འདྲེན་
དྲང་|see འདྲེན་
དྲོངས་|see འདྲེན་
འདྲེས་|see འདྲེ་
འདྲེས་པ་|mixture
འདྲོངས་|(INTR) to be invited
རྡལ་|(TR) to spread\nv1 རྡལ་ v2 བརྡལ་ v3 བརྡལ་ v4 རྡོལ་
བརྡལ་|see རྡལ་
བརྡལ་|see རྡལ་
རྡོལ་|see རྡལ་
རྡིག་|valuables (?)
རྡུགས་|(INTR) to be worn out
རྡུང་|(TR) to beat\nv1 རྡུང་ v2 བརྡུངས་ v3 བརྡུང་ v4 རྡུངས་
བརྡུངས་|see རྡུང་
བརྡུང་|see རྡུང་
རྡུངས་|see རྡུང་
རྡུལ་|dust
རྡེབས་|(TR) 1) to throw down; 2) to stomp\nv1 རྡེབས་ v2 བརྡབས་ v3 བརྡབ་ v4 རྡེབས་
བརྡབས་|see རྡེབས་
བརྡབ་|see རྡེབས་
རྡེའུ་ |pebble
རྡོ་|1) stone; 2) ore
རྡོ་བ་|stone
ལྡག་|(TR) to lick\nv1 ལྡག་ v2 བལྡགས་ v3 བལྡག་ v4 ལྡོག་
བལྡགས་|see ལྡག་
བལྡག་|see ལྡག་
ལྡོག་|see ལྡག་
ལྡན་|(to be) possessed of, endowed with (+ COM)
ལྡེ་|(PN) Lde, name of a Tibetan dynasty
ལྡེ་རྒྱལ་པོ་|(PN) Lde-rgyal-po
ལྡེ་སྣོལ་ནམ་|(PN) Lde-snol-nam
ལྡེ་སྣོལ་པོ་|(PN) Lde-snol-po
ལྡེ་སྤྲིན་བཙན་|(PN) Lde-sprin-bcan
ལྡེ་འཕྲུལ་ནམ་གཞུང་བཙན་|(PN) Lde-ɣphrul-nam-gźuṅ-bcan
ལྡེ་ཚབ་|spare key
ལྡོག་|(INTR) to come back\nv1 ལྡོག་ v2 ལོག་ v3 ལྡོག་ v4 ལོག་
ལོག་|see ལྡོག་
ལོག་|see ལྡོག་
སྡར་མ་|coward
སྡིག་པ་|1) offence; 2) sin
སྡུག་|(to be) pretty, nice
སྡུག་|1) misery; 2) to be pained
སྡུག་བསྔལ་|1) (to be) afflicted, pained; 2) misery, suffering, affliction
སྡུག་པ་|dear
སྡུག་པོ་|misery
སྡུག་མད་|a truly miserable person
སྡུག་སྲན་|hardiness
སྡུད་|(TR) 1) to add; 2) to collect; 3) to gather\nv1 སྡུད་ v2 བསྡུས་ v3 བསྡུ་ v4 སྡུས་
བསྡུས་|see སྡུད་
བསྡུ་|see སྡུད་
སྡུས་|see སྡུད་
སྡེ་|class
སྡེབ་|(TR) to join\nv1 སྡེབ་ v2 བསྡེབས་ v3 བསྡེབ་ v4 སྡེབས་
བསྡེབས་|see སྡེབ་
བསྡེབ་|see སྡེབ་
སྡེབས་|see སྡེབ་
སྡོད་|(INTR) 1) to wait; 2) to stay, 3) to live\nv1 སྡོད་ v2 བསྡད་ v3 སྡོད་ v4 སྡོད་
བསྡད་|see སྡོད་
སྡོམ་|(TR) to bind, to fetter\nv1 སྡོམ་ v2 བསྡམས་ v3 བསྡམ་ v4 སྡོམས་
བསྡམས་|see སྡོམ་
བསྡམ་|see སྡོམ་
སྡོམས་|see སྡོམ་
སྡོམ་པ་|vow
བརྡ་|sign
བརྡབས་|see རྡེབས་
བརྡལ་|see རྡལ་
བལྡག་|see ལྡག་
བསྡད་|see སྡོད་
བསྡམས་|see སྡོམ་
བསྡུས་|see སྡུད་
བསྡེབས་|see སྡེབ་

ན་|(INTR) to be ill
ན་ཆུང་|girl
ན་བུན་|mist
ནག་པ་|(to be) black
ནག་མོ་|black
ནགས་མ་|forest
ནང་|the inside, interior
ནང་དུ་|(Postp) into, in (+ GEN)
ནང་ན་|(Postp) among (+ GEN / ABS)
ནང་ནས་|(Postp) from (+ GEN)
ནང་པ་|(PN) Naṅ-pa
ནང་པར་|day after tomorrow
ནངས་པར་|day after tomorrow
ནད་|illness
ནན་ཏར་|very much
ནམ་|(INT / REL) when
ནམ་མཁའ་|sky
ནམ་མཁའ་ལྡིང་|garuḍa-bird, lit. one soaring in the sky
ནར་ནར་|continuously
ནར་མ་|continuous
ནལ་|incest
ནལ་ལུ་|bastard child
ནས་|barley
ནུ་བོ་|younger brother
ནུབ་|night
ནུབ་མོ་|evening
ནུས་|(MOD) to be able, capable; can
ནོན་|(TR) to overcome, to suppress
ནོར་|1) wealth, goods; 2) cattle
ནོར་ཅན་|1) (A) wealthy; 2) (N) wealthy one
ནོར་བདག་|wealthy man
ནོར་བདག་པོ་|wealth’s owner
ནོར་ལྡན་|wealthy
ནོར་བུ་|jewel
ནོར་མེད་|impoverished
ནོར་ཡོད་|wealthy
ནོར་སློངས་|source of wealth, possessions, lit. “wealth-raising”
གནག་|yak
གནང་|(HON for སྟེར་; TR) 1) to allow, to permit; 2) to give
གནངས་ཉིན་|the day after tomorrow, the third day
གནམ་|the sky
གནམ་རི་སྲོང་བཙན་|(PN) Gnam-ri-sroṅ-bcan
གནས་|1) (INTR) 1) to last; 2) to live; 3) to stay; 2) (N) place
གནོད་པ་|pain
མནའ་མ་|wife
མནར་|(INTR) to suffer, to be pained
མནལ་|(HON; INTR) to sleep
རྣང་|སྐད་ཀྱིས་རྣང་ to be unable to utter a word; lit. for words to choke\nv1 རྣང་ v2 བརྣངས་ v3 རྣང་ v4 རྣང་
བརྣངས་|see རྣང་
རྣམ་འགྱུར་|facial expression
རྣམ་རྟོག་|disgust
རྣམ་པ་|1) kind; 2) division
རྣོན་པོ་|sharp
སྣ་|a kind
སྣ་|nose
སྣ་ཚོགས་|all kinds (also རྣམ་པ་སྣ་ཚོགས་)
སྣང་|(INTR) to appear
སྣད་|(TR) to hurt\nv1 སྣད་ v2 བསྣད་ v3 བསྣད་ v4 སྣོད་
བསྣད་|see སྣད་
བསྣད་|see སྣད་
སྣོད་|see སྣད་
སྣམ་བུ་|woollens
སྣུན་|(TR) to stick in\nv1 སྣུན་ v2 བསྣུན་ v3 བསྣུན་ v4 སྣུན་
བསྣུན་|see སྣུན་
བསྣུན་|see སྣུན་
སྣོམ་|(TR) to take\nv1 སྣོམ་ v2 བསྣམས་ v3 བསྣམ་ v4 སྣོམས་
བསྣམས་|see སྣོམ་
བསྣམ་|see སྣོམ་
སྣོམས་|see སྣོམ་
བསྣམས་|see སྣོམ་
བསྣུན་|see སྣུན་

པ་གུ་|brick
པད་མོ་|lotus
པོ་ཏ་ལ་|(PN) Po-ta-la, name of a mountain
པྲེ་པེ་སྟན་ཆུང་|(PN) Pre-pe-stan-čhuṅ
དཔག་མེད་|countless, innumerable
དཔའ་|(to be) courageous
དཔལ་|glory
དཔེ་|1) proverb; 2) example
དཔོག་|(TR) to measure\nv1 དཔོག་ v2 དཔགས་ v3 དཔག་ v4 དཔོགས་
དཔགས་|see དཔོག་
དཔག་|see དཔོག་
དཔོགས་|see དཔོག་
དཔོགས་|see དཔོག་
དཔྱད་|see དཔྱོད་
དཔྱོད་|(TR) to examine\nv1 དཔྱོད་ v2 དཔྱད་ v3 དཔྱད་ v4 དཔྱོད་
དཔྱད་|see དཔྱོད་
དཔྱད་|see དཔྱོད་
དཔྲལ་བ་|forehead
སྤང་|meadow
སྤུ་|hair
སྤུ་དེ་གུང་རྒྱལ་|(PN) Spu-de-guṅ-rgyal
སྤུར་|(HON) body, corpse
སྤོ་བོ་|(PN) Spo-bo, a historical region in Tibet
སྤོང་|(TR) to abandon\nv1 སྤོང་ v2 སྤངས་ v3 སྤང་ v4 སྤོངས་
སྤངས་|see སྤོང་
སྤང་|see སྤོང་
སྤོངས་|see སྤོང་
སྤོངས་|see སྤོང་
སྤྱད་|see སྤྱོད་
སྤྱན་|(HON for མིག་) eye
སྤྱན་རས་གཟིགས་|(PN) Spyan-ras-gzigs
སྤྱི་བོ་|crown of the head
སྤྱིན་|glue
སྤྱུག་|(TR) to banish\nv1 སྤྱུག་ v2 སྤྱུགས་ v3 སྤྱུག་ v4 སྤྱུགས་
སྤྱུགས་|see སྤྱུག་
སྤྱུགས་|see སྤྱུག་
སྤྱོ་|(INTR) to scold\nv1 སྤྱོ་ v2 སྤྱོས་ v3 སྤྱོ་ v4 སྤྱོ་
སྤྱོས་|see སྤྱོ་
སྤྱོད་|(TR) 1) to do, to practice, to act; 2) to use; 3) to enjoy\nv1 སྤྱོད་ v2 སྤྱད་ v3 སྤྱད་ v4 སྤྱོད་
སྤྱད་|see སྤྱོད་
སྤྱད་|see སྤྱོད་
སྤྱོད་པ་|behaviour, conduct
སྤྱོད་ཚུལ་|conduct
སྤྱོད་ལམ་|mode of life
སྤྲང་|1) (INTR) to beg; 2) (N) beggar
སྤྲང་པོ་|beggar
སྤྲད་|see སྤྲོད་
སྤྲིན་|cloud
སྤྲུག་|(TR) to shake off\nv1 སྤྲུག་ v2 སྤྲུགས་ v3 སྤྲུག་ v4 སྤྲུགས་
སྤྲུགས་|see སྤྲུག་
སྤྲུགས་|see སྤྲུག་
སྤྲུལ་པ་|1) transformation; 2) emanation; incarnation
སྤྲེ་|monkey
སྤྲེའུ་|monkey
སྤྲེའུ་ཕྲུག་|young of a monkey, monkey-child
སྤྲེལ་ཕྲུག་|see སྤྲེའུ་ཕྲུག་
སྤྲོ་བ་|joy
སྤྲོད་|(TR) 1) to give, to return; 2) to make to meet, to bring together\nv1 སྤྲོད་ v2 སྤྲད་ v3 སྤྲད་ v4 སྤྲོད་
སྤྲད་|see སྤྲོད་
སྤྲད་|see སྤྲོད་

ཕ་|father
ཕ་མ་|1) parents; 2) father and mother
ཕ་མིང་|father and brother(s)
ཕ་རོལ་|1) the other; 2) the outside
ཕ་རོལ་ན་|(Postp) beyond (+ GEN)
ཕ་ཤུལ་|patrimony
ཕག་|concealment
ཕག་|swine
ཕག་ཏུ་|secretly
ཕངས་མེད་|abundant
ཕན་|1) benefit; 2) (to be) useful
ཕན་བདེ་|1) happiness; 2) happiness and blessing
ཕན་པ་|1) benefit; 2) (to be) beneficial
ཕུ་|upland, upper part of a valley
ཕུ་དུང་|sleeve
ཕུ་བོ་|elder brother
ཕུག་|see འབུགས་
ཕུག་རོན་|dove
ཕུང་པོ་|heap
ཕུན་སུམ་ཚོགས་པ་|accomplishment (Skt. sampatti)
ཕུལ་|turret
ཕུལ་|see འབུལ་
ཕུལ་གང་|a handful
ཕུལ་ཕྱིན་|victorious
ཕེར་|(TR) to be able, to be able to bear
ཕོ་|(A) male
ཕོ་ནོར་|man’s goods
ཕོ་བོ་|elder brother
ཕོ་བྲང་|palace, castle
ཕོ་ལྷ་|one of tutelary deities
ཕོག་|see འབོགས་
ཕོག་|see འཕོག་
ཕྱ་|lot
ཕྱག་|(HON for ལག་པ་) hand
ཕྱི་མ་|later; next
ཕྱི་བཞིན་|(Postp) after (+ GEN)
ཕྱི་རོལ་|outside
ཕྱིང་བ་སྟག་རྩེ་|(PN) Phyiṅ-ba-stag-rce, name of a castle
ཕྱིང་ཡུལ་|(PN) Phyiṅ-yul, name of a region in Central Tibet
ཕྱིང་ལུང་|(PN) Phyiṅ-luṅ
ཕྱིན་|(INTR) to arrive, to go
ཕྱིན་ཆད་|(Postp) after (+ ABS)
ཕྱིན་ཏེ་ལོ་ཤུ་ཤ་|(PN) Phyin-te-lo-śu-śa, a Tibetan transcription of the Chinese name 賓頭盧埵闍 Bin-tou-lu-duo-she, itself a transcription of Sanskrit Piṇḍoladhvaja (?; cf. Hahn 1996: 318)
ཕྱིར་|1) (Adv) 1) back; 2) again; 3) out, outside; 2) (Postp) 1) on account of, due to, because; for the sake of (+ GEN); 2) in order to (+ ABS)
ཕྱིར་ཡང་|1) again; 2) afterwards
ཕྱིས་|later
ཕྱུག་|(to be) rich
ཕྱུགས་|cattle
ཕྱུང་|see འབྱིན་
ཕྱེ་|flour
ཕྱེ་|see འབྱེད་
ཕྱེད་|see འབྱེད་
ཕྱེད་ཀ་ |half
ཕྱེད་མ་|half
ཕྱོགས་|1) direction; 2) side
ཕྱོགས་ལ་|(Postp) towards (+ GEN)
ཕྱོགས་སུ་|(Postp) towards (+ GEN)
ཕྲག་དོག་|envy
ཕྲག་|shoulder
ཕྲག་པ་|shoulder
ཕྲད་|particle
ཕྲད་|see འཕྲད་
ཕྲིན་|message
ཕྲུ་གུ་|child
ཕྲོགས་|see འཕྲོག་
འཕགས་རྒྱལ་|(PN) Ɣphags-rgyal, name of an Indian town (Skt. Ujjayinī)
འཕགས་པ་|the Noble One (lit. Surpassing One)
འཕངས་|see འཕེན་
འཕམ་པ་|despondent
འཕུར་|(INTR) to fly\nv1 འཕུར་ v2 ཕུར་ v3 འཕུར་ v4 འཕུར་
ཕུར་|see འཕུར་
འཕེན་|(TR) to throw\nv1 འཕེན་ v2 འཕངས་ v3 འཕང་ v4 འཕོང་
འཕངས་|see འཕེན་
འཕང་|see འཕེན་
འཕོང་|see འཕེན་
འཕེལ་|(INTR) to increase, to thrive\nv1 འཕེལ་ v2 ཕེལ་ v3 འཕེལ་ v4 འཕེལ་
ཕེལ་|see འཕེལ་
འཕོ་|(INTR) to change; ཚེ་འཕོ་ to die, to be reborn\nv1 འཕོ་ v2 འཕོས་ v3 འཕོ་ v4 འཕོས་
འཕོས་|see འཕོ་
འཕོས་|see འཕོ་
འཕོག་|(TR) to hit\nv1 འཕོག་ v2 ཕོག་ v3 འཕོག་ v4 འཕོག་
ཕོག་|see འཕོག་
འཕྱ་|(INTR) to deride, to laugh\nv1 འཕྱ་ v2 འཕྱས་ v3 འཕྱ་ v4 འཕྱ་
འཕྱས་|see འཕྱ་
འཕོས་|see འཕོ་
འཕྲད་|(TR) to meet with (+ COM)\nv1 འཕྲད་ v2 ཕྲད་ v3 འཕྲད་ v4 འཕྲད་
ཕྲད་|see འཕྲད་
འཕྲོག་|(TR) to take away, to rob; to deprive of\nv1 འཕྲོག་ v2 ཕྲོགས་ v3 དབྲོག་ v4 ཕྲོགས་
ཕྲོགས་|see འཕྲོག་
དབྲོག་|see འཕྲོག་
ཕྲོགས་|see འཕྲོག་

བ་|cow
བ་ར་བོང་|cow, goat, and ass
བ་ལང་|ox
བ་སུ་མི་ཏྲ་|(PN) Ba-su-mi-tra (Skt. Vasumitra)
བག་མ་|bride
བང་|foot-race
བང་མཛོད་|magazine, treasury
བང་སོ་|tomb, burial mound
བད་ས་ལ་|(PN) Bad-sa-la (Skt. Vatsa)
བབ་|see འབབ་
བབས་|see འབབ་
བར་|1) the middle; 2) middle sphere
བར་འགའ་|sometimes, once
བར་ཆད་|danger
བར་དུ་|(Postp) during, while (+ GEN)
བར་ལ་|(Postp) in the meantime, until (+ ABS / GEN)
བལ་|wool
བལ་པོ་|Nepalese
བལ་ལས་|spinning of wool
བུ་|1) child; 2) son
བུ་སྟོན་རིན་པོ་ཆེ་|(PN) Bu-ston Rin-po-čhe (1290–1364), a Tibetan Buddhist master
བུ་ཕོ་|son
བུ་མོ་|1) daughter; 2) girl
བུ་སྨད་|children and [their] mother
བུ་ཚ་|progeny, offspring, children
བུག་པ་|hole
བུང་བ་|bee
བུད་མེད་|woman
བོང་བུ་|ass
བོད་|(PN) Tibet
བོད་སྐད་|Tibetan language
བོད་པ་|Tibetan (man)
བོད་མོ་|Tibetan (woman)
བོད་ཡིག་|written Tibetan
བོན་|(PN) Bon, an indigenous Tibetan religion
བོན་པོ་|a male adherent of the Bon religion
བོར་|see འབོར་
བོས་|see འབོད་
བྱ་|1) bird; 2) hen
བྱ་|see བྱེད་
བྱ་ཁྲི་|(PN) Bya-khri
བྱ་བ་|1) deed, act, affairs; 2) (so-)called
བྱ་མོ་|hen
བྱ་ཚོགས་|(PN) Bya-chogs, name of a forest
བྱ་རོག་|crow
བྱང་|north
བྱང་ཆུབ་|enlightenment
བྱང་ཆུབ་སེམས་དཔའ་|Skt. bodhisattva
བྱམས་མགོན་|protector of benevolence
བྱམས་པ་|1) kindness, love; 2) (TR) to love (+ DAT); 3) (PN) Byams-pa (Skt. Maitreya)
བྱས་|see བྱེད་
བྱི་|rat
བྱི་|see འབྱི་
བྱིན་|blessing
བྱིན་|see སྦྱིན་
བྱིའུ་|nestling
བྱེའུ་|nestling
བྱིས་པ་|child
བྱུང་|see འབྱུང་
བྱེ་|see འབྱེ་
བྱེད་|(TR) 1) to do, to make, to commit; to prepare; 2) to speak; 3) to act as (+ ABS); 4) to determine; ཁྱིམ་ཐབ་བྱེད་ to establish a family; མཆོད་པ་བྱེད་ to make offerings; གཏམ་བྱེད་ to make a speech; དབང་བྱེད་ to rule (over + DAT); མོས་གུས་བྱེད་ to pay respect; གཙོ་བྱེད་ to lead, to be most prominent; བཅོལ་གཏམས་བྱེད་ to entrust; ཚགས་བྱེད་ to save; ཚེའི་དུས་བྱེད་ to die; ཞེས་བྱ་བ་ called; སོ་ནམ་བྱེད་ to cultivate fields\nv1 བྱེད་ v2 བྱས་ v3 བྱ་ v4 བྱོས་
བྱས་|see བྱེད་
བྱ་|see བྱེད་
བྱོས་|see བྱེད་
བྱེའུ་|see བྱིའུ་
བྱོན་|see འབྱོན་
བྱོས་|see བྱེད་
བྲ་བོ་|buckwheat
བྲག་|rock
བྲག་སྲིན་མོ་|rock-ogress
བྲན་|servant
བྲན་བཟངས་|(PN) Bran-bzaṅs
བྲམ་ཟེ་|Brahmin
བྲལ་|see འབྲལ་
བྲིན་པ་|in demand; precious
བྲིས་|see འབྲི་
བྲེལ་|(INTR) to be separated from, to be without
བྲེས་|manger
བྲོ་བ་|taste
བྲོས་|see འབྲོས་
བླ་|sign, symbol
བླ་|1) (to be) superior, better; 2) what is above
བླ་མ་|lama, teacher
བླང་དོར་|attracting and repelling
བླངས་|see ལེན་
བླུན་པོ་|(N) fool
བློ་|mind, thought
བློ་གྲོས་|1) intelligence, intellect; 2) understanding
བློ་ངན་|evil-minded
བློ་ཆུང་|narrow-minded
བློ་འདོད་|greed
བློ་ལྡན་|intelligent, wise
བློན་ཆེ་|great councillor
བློན་པོ་|minister
དབང་|1) power; 2) (TR) to control, to own
དབང་གིས་|(Postp) perforce (+ GEN)
དབང་པོ་|sense
དབང་མེད་|powerless
དབུ་|(HON for མགོ་) head
དབུ་སྐྲ་|(HON for སྐྲ་) hair
དབུགས་|breath
དབུལ་ཕོངས་|(to be) poor
དབུས་སུ་|(Postp) in the middle of (+ GEN)
དབྱར་|summer
དབྱར་ཀ་|summer
དབྱིག་པ་ཅན་|(PN) Dbyig-pa-čan (Skt. Daṇḍin)
དབྱིངས་|height
དབྱུག་|stick
དབྱུ་གུ་|stick
དབྱུག་གུ་|stick
འབངས་|subject, servant
འབབ་|(INTR) to come down, to descend (C); to fall (NC); དུས་ལ་འབབ་ for the time to come\nv1 འབབ་ v2 བབ་ v3 འབབ་ v4 འབབ་
བབ་|see འབབ་
འབའ་ཞིག་|1) alone, mere; 2) only
འབུགས་ v2 ཕུག་ v3 དབུག་ v4 ཕུག་|(TR) to bore
འབུགས་ v2 ཕུག་ v3 དབུག་ v4 ཕུགས་|(TR) to bore
འབུད་|(TR) to blow\nv1 འབུད་ v2 ཕུས་ v3 དབུ་ v4 ཕུས་
ཕུས་|see འབུད་
དབུ་|see འབུད་
ཕུས་|see འབུད་
འབུམ་|hundred thousand
འབུལ་|(HML for སྦྱིན་ / སྟེར་; TR) to offer\nv1 འབུལ་ v2 ཕུལ་ v3 དབུལ་ v4 ཕུལ་
ཕུལ་|see འབུལ་
དབུལ་|see འབུལ་
ཕུལ་|see འབུལ་
འབོགས་|(TR) to give\nv1 འབོགས་ v2 ཕོག་ v3 དབོག་ v4 ཕོག་
ཕོག་|see འབོགས་
དབོག་|see འབོགས་
ཕོག་|see འབོགས་
འབོད་|(TR) to call, to summon\nv1 འབོད་ v2 བོས་ v3 འབོད་ v4 བོས་
བོས་|see འབོད་
བོས་|see འབོད་
འབོར་|(TR) to leave behind; to abandon; དམོད་འབོར་ to pronounce a prayer\nv1 འབོར་ v2 བོར་ v3 འབོར་ v4 བོར་
བོར་|see འབོར་
བོར་|see འབོར་
འབྱི་|(INTR) to fall off\nv1 འབྱི་ v2 བྱི་ v3 འབྱི་ v4 འབྱི་
བྱི་|see འབྱི་
འབྱིན་|(TR) to cause to come forth / out, to take out\nv1 འབྱིན་ v2 ཕྱུང་ v3 དབྱུང་ v4 ཕྱུང་
ཕྱུང་|see འབྱིན་
དབྱུང་|see འབྱིན་
ཕྱུང་|see འབྱིན་
འབྱུང་|(INTR) 1) to occur, to appear; 2) to happen, to become; 3) to be born (to + DAT); 4) to come out; རབ་ཏུ་འབྱུང་བ་ to join (the religion of Buddha; Skt. pra-√vraj “to go forth, to proceed; to become a monk”)\nv1 འབྱུང་ v2 བྱུང་ v3 འབྱུང་ v4 འབྱུང་
བྱུང་|see འབྱུང་
འབྱུང་པོ་|demon
འབྱེ་|(INTR) 1) to open; 2) to divide\nv1 འབྱེ་ v2 བྱེ་ v3 འབྱེ་ v4 འབྱེ་
བྱེ་|see འབྱེ་
འབྱེད་|(TR) to divide, to separate; to open; ཤན་འབྱེད་ to differ\nv1 འབྱེད་ v2 ཕྱེ་ v3 དབྱེ་ v4 ཕྱེས་
ཕྱེ་|see འབྱེད་
དབྱེ་|see འབྱེད་
ཕྱེས་|see འབྱེད་
འབྱོན་|(HON; INTR) 1) to arrive; 2) to appear; 3) to set off\nv1 འབྱོན་ v2 བྱོན་ v3 འབྱོན་ v4 འབྱོན་
བྱོན་|see འབྱོན་
འབྱོར་ལྡན་|rich
འབྱོར་པ་|wealth
འབྲང་སྙན་ལྡེ་རུ་|(PN) Ɣbraṅ-sñan-lde-ru
འབྲལ་|(INTR) to be deprived (of + COM); སྲོག་དང་འབྲལ་ to die\nv1 འབྲལ་ v2 བྲལ་ v3 འབྲལ་ v4 འབྲལ་
བྲལ་|see འབྲལ་
འབྲི་|(TR) to write\nv1 འབྲི་ v2 བྲིས་ v3 བྲི་ v4 བྲིས་
བྲིས་|see འབྲི་
བྲི་|see འབྲི་
བྲིས་|see འབྲི་
འབྲིང་པོ་|1) (N) the middle one; 2) (A) middle
འབྲུ་|corn
འབྲུག་|dragon
འབྲེལ་|(TR) to unite with, to be associated with (+ COM)
འབྲོང་ཞེར་ལེགས་|(PN) Ɣbroṅ-źer-legs
འབྲོང་རུ་|horn of a wild yak
འབྲོས་|(INTR) to flee\nv1 འབྲོས་ v2 བྲོས་ v3 འབྲོས་ v4 འབྲོས་
བྲོས་|see འབྲོས་
སྦལ་པ་|frog
སྦས་|see སྦེད་
སྦེད་|(TR) to hide, to conceal\nv1 སྦེད་ v2 སྦས་ v3 སྦ་ v4 སྦོས་
སྦས་|see སྦེད་
སྦ་|see སྦེད་
སྦོས་|see སྦེད་
སྦོམ་པོ་|plump
སྦྱར་|see སྦྱོར་
སྦྱིན་|(TR) to give, to bestow, to offer\nv1 སྦྱིན་ v2 བྱིན་ v3 སྦྱིན་ v4 བྱིན་
བྱིན་|see སྦྱིན་
བྱིན་|see སྦྱིན་
སྦྱོར་|(TR) to compare (with + COM); to join\nv1 སྦྱོར་ v2 སྦྱར་ v3 སྦྱར་ v4 སྦྱོར་
སྦྱར་|see སྦྱོར་
སྦྱར་|see སྦྱོར་
སྦྲ་|tent
སྦྲང་རྩི་|honey
སྦྲུལ་|snake

མ་|mother
མ་|(NEG) not
མ་ཐག་|immediately thereafter, right after (+ v2 or +ABS)
མ་ཐག་ཏུ་|immediately thereafter, right after (+ v2 or +ABS)
མ་སྨད་|mother and [her] children
མ་འོངས་པ་|future
མ་རིག་པ་|ignorance
མ་ལུས་པར་|completely
མག་པ་|son-in-law
མང་|(INTR) to be many\nv1 མང་ v2 མངས་ v3 མང་ v4 མང་
མངས་|see མང་
མང་དུ་|many; a lot, much
མང་པོ་|many; numerous
མངས་|see མང་
མར་|butter
མར་པ་|(PN) Mar-pa
མི་|(NEG) not
མི་|man, human being
མི་ཐོད་གད་ཁ་|(PN) Mi-thod-gad-kha, a place name
མི་བརྒྱུད་|lineage
མི་སྙན་|unpleasant
མི་བདག་|false-master, lit. non-master
མི་ནོར་|man’s wealth
མི་ལ་ཤེས་རབ་རྒྱལ་མཚན་|(PN) Mi-la-śes-rab-rgyal-mchan, the father of Mi-la-ras-pa
མི་ལས་|labour
མིག་|eye
མིང་|name
མིང་སྲིང་|brother and sister
མིན་|(NEG COP of ཡིན་) not to be
མིའུ་|dwarf
མུ་ཁྲི་བཙན་པོ་|(PN) Mu-khri-bcan-po
མེ་|fire
མེ་ཁྲི་བཙན་པོ་|(PN) Me-khri-bcan-po
མེ་ཏོག་|flower
མེ་ལོང་|mirror
མེ་ཤིང་|firewood
མེད་|(NEG COP of ཡོད་) 1) not to be, not to exist; 2) not to have
མོ་|1) (3SG F) she; 2) (A) female
མོ་ནོར་|woman’s goods
མོ་མ་|diviner
མོད་|(INTR) to be abundant, to abound
མོས་|(INTR) to take pleasure in (+ DAT)
མོས་གུས་|respect
མྱ་ངན་|affliction, misery; trouble
མྱ་ངན་མེད་|(PN) Mya-ṅan-med (Skt. Aśoka)
མྱ་ངན་ལས་འདས་པ་|Skt. nirvāṇa
མྱང་ཚ་དཀར་རྒྱན་|(PN) Myaṅ-cha-dkar-rgyan, Mi-la-ras-pa’s mother
མྱུར་དུ་|quickly
མྱུར་བ་|quick
མྱུར་བར་|quickly
མྱོང་|(TR) to experience\nv1 མྱོང་ v2 མྱངས་ v3 མྱང་ v4 མྱོང་
མྱངས་|see མྱོང་
མྱང་|see མྱོང་
དམག་|army
དམག་བརྒྱ་པ་|(PN) Dmag-brgya-pa (Skt. Śātānīka)
དམག་པ་|son-in-law
དམར་པོ་|red
དམུས་ལོང་|blind
