ka kha 	alphabet
rgyas 	(INTR) 1) to increase, to grow, to spread; 2) to be full of
rgyas pa 	(PN) Rgyas-pa (Skt. Vyāsa)
rgyas par 	in detail; expandingly, extensively
rgyu skar 	star
rgyug  v2 {brgyugs} v3 {brgyug}	(INTR) to run
rgyud 	1) realm of existence; 2) tantra
rgyun 	flow, stream
rgyun chad 	interruption
rgyun du 	constantly, continually
rgyus yod 	familiar with; lit. having knowledge (of)
sgo 	door
sgo  v2 {bsgo}	(TR) to say
sgo khyi 	door-guarding dog
sgo nas 	(Postp) 1) due to; 2) by means of (+ GEN)
sgom  v2 {bsgoms} v3 {bsgom} v4 {sgom}({sa}){}	(TR) to meditate
sgyu ma lha mdzes 	(PN) Sgyu-ma-lha-mȷes ({sgyu ma} = Skt. māyā, {lha mdzes} = Skt. devī)
sgyur  v2/v3 {bsgyur} v4 {sgyur} 	(TR) to translate
sgra 	sound; voice
sgra chen po 	(PN) Sgra-čhen-po
sgrig  v2 {bsgrigs} v3 {bsgrig} v4 {sgrigs}	(TR) to arrange
sgrub  v2 {bsgrubs} v3 {bsgrub} v4 {sgrubs}	(TR) to accomplish, to achieve
sgrog  v2 {bsgrags} v3 {bsgrag} v4 {sgrogs}	(TR) to promulgate
sgrom 	box, chest
sgrol  v2/v3 {bsgral} v4 {sgrol}	(TR) to rescue
sgrol ma 	(PN) Sgrol-ma (Skt. Tārā)
brgal 	see rgal 
brgya 	hundred
brgya dang bcu gcig 	hundred and eleven
brgya dang nyi shu 	hundred and twenty
brgyad 	eight
brgyad pa 	eighth
brgyab 	see rgyab 
brgyal 	(INTR) to faint away
brgyud 	lineage
bsgo 	see sgo 
bsgo  v2 {bsgos}	(TR) to soil, to stain
bsgom 	see sgom 
bsgoms 	see sgom 
bsgos 	see bsgo 
bsgrags 	see sgrog 
bsgrigs 	see sgrig 
bsgrub 	see sgrub 
bsgrubs 	see sgrub 

nga 	(1SG) I
nga rang 	(1SG) I
ngag 	speech
ngag tu 	verbally
ngang rgyud 	forbearance
ngang pa 	goose
ngan pa 	(to be) bad; wicked
ngan bu 	(1SG) I; humble I
ngar pa 	leg (of trousers)
ngal 	weariness
ngal 	(INTR) to be tired; {lus ngal} to be tired
ngu  v2 {ngus}	(INTR) to weep
ngur smrig 	yellowish red
ngus 	see ngu 
nged 	(1PL) we
nged rang 	(1PL) we
nges 	(to be) certain
nges par 	certainly
nges 'byung 	renunciation
ngo 	face
ngo tsha 	1) shame; 2) shameful
ngo mtshar 	1) miracle, wonder; 2) wonderful
ngom  v2 {ngoms}	(INTR) to be sated (by + ERG)
dngul 	silver
dngul rdo 	silver-ore
dngos po 	thing
mnga' 	(HON for {yod}; COP) to have
mngon par 	openly, visibly
mngon par sangs rgya  v2 {rgyas}	(INTR) to achieve manifesting enlightenment
mngon blo 	real understanding
rnga 	drum
rnga  v2 {brngas} v3 {brnga} v4 {rngos} 	(TR) to reap
lnga 	five
lnga brgya 	five hundred
lnga tshigs 	third out of five
snga 	earlier time
snga ba 	the earliest one
snga ma 	before
