ka kha 	alphabet
zhabs 	(HON for {rkang pa}) foot
zhal 	(HON for {kha}) mouth
zhal che 	judgement
zhal che pa 	judge
zhal chems 	(HON for {kha chems}) testament
zhal 'dzum 	(HON) smile
zhi 	(INTR) to be calm
zhing 	field
zhing skal 	field-share
zhing pa 	peasant
zhing las 	field-work
zhib pa 	exact
zhib par 	minutely
zhu  v2 {zhus}	(HML for {zer} / {smra}) 1) to speak; 2) to ask
zhugs 	see 'jug 
zhugs 	(HON for {me}) fire
zhus 	see zhu 
zhe sdang 	hatred
zhen 	(INTR) 1) to fix, to penetrate; 2) to long for (+ DAT)
zhes pa ltar 	as the so-called
gzhan 	1) (A) other; foreign; 2) (N) the other
gzhan du 	differently
gzhan yang 	furthermore
gzhi 	cause
gzhi ma 	foundation
gzhung 	middle
gzhun po 	excellent
gzhon 	young
gzhon nu 	1) (N) a youth ; 2) (A) young
bzhag 	see 'jog 
bzhams 	(TR) to calm down, appease
bzhi 	four
bzhi bcu 	fourty
bzhin 	face
bzhin 	(Postp) according to, in accordance with; like (+ ABS)
bzhin du 	(Postp) according to; like (+ ABS)
bzhugs 	(HON for {'dug}; INTR) 1) to stay, abide; to sit; 2) to be alive
bzhus 	see 'ju 
bzhengs 	(HON; INTR) to rise, get up
bzhes 	(HON for {len}; TR) to take; {thugs nyams su bzhes} to experience, to practise
bzhon pa 	riding-beast

za  v2 {bzas} / {zos} v3 {bza'} v4 {zo}({sa}){}	(TR) to eat; {zan za} (INTR) to eat
za nam zin te 	(PN) Za-nam-zin-te
zangs 	copper
zangs rdo 	copper-ore
zad 	see 'dzad 
zad par 	completely
zan 	food
zab pa 	(to be) deep
zab mo 	profound
za({ra}){ ri zi}({ra}){ ri}	confused
zas 	food
zas gtsang ma 	(PN) Zas-gcaṅ-ma (Skt. Śuddhodana)
zin 	(INTR) 1) to be seized with, to be taken over by (+ ERG); 2) to finish
zil pa 	dew
zug rngu 	grief
zungs 	see 'dzin 
zur 	outline
zur nas 	(Adv) for one’s part
zer 	(TR) 1) to say; 2) to call
zer ba 	saying
zo 	see za 
zo dang gong po ri 	(PN) Zo-daṅ-goṅ-po-ri
zos 	see za 
zla ba 	month
zla ba 	(PN) Zla-ba
gzigs 	(HON for {mthong} / {lta}; TR) 1) to see; to look (at / in + DAT); 2) to regard
gzir 	(INTR) 1) to be pained, to suffer; 2) to be harassed, troubled
gzug 	quarter share
gzugs 	1) body; 2) shape
gzugs can snying po 	(PN) Gzugs-čan-sñiṅ-po (Skt. Bimbisāra)
gze ru  	small nail
gzer 	nail
gzer bu 	small nail
bzang 	(to be) good
bzang po 	excellent, good
bza' ba 	food
bza' mi 	husband and wife
bzung 	see 'dzin 

'a ci 	(PN) Ɣa-či, name of an ancient polity in Central Asia
'u cag 	(1PL) we
'u bu cag 	(1PL) we
'um bu glang mkhar 	(PN) Ɣum-bu-glaṅ-mkhar
'o skol 	(1PL) we
'o brgyal 	difficulty, trouble
'o cag 	(1PL) we
'o na 	(Intrj) well; now then
'o ma 	milk
'o lags so 	very well, all right
'og 	1) nether sphere; 2) ground floor
'og tu 	(Postp) after (+ GEN)
'og na 	1) (Adv) below, underneath; 2) (Postp) below (+ GEN)
'ong  v2 {'ongs}	(INTR) 1) to come; 2) to become, to be; {legs par 'ongs so} lit. “\You\ have arrived well” (an official greetings formula of an admission to the Buddhist order)
'ongs 	see 'ong 
'od 	light
'od zer 	ray
'on te 	or if not, or else, or also
'or ma 	(PN) Ɣor-ma
'os 	(INTR) to be suitable

yang 	(Adv) 1) again; 2) still, more; 3) further
yang dag 	really
yang na 	or
yang yang 	again and again
yan 	(Postp) up to (+ ABS)
yan la 	(Postp) till (+ ABS)
yan lag 	limb
yab 	(HON for {pha}) father
yab mes 	ancestors
yab yum 	(HON for {pha ma}) 1) father and mother; 2) parents
yar 	up, upward
yar lungs 	(PN) Yar-luṅs, historical region in Central Tibet
yar lha sham po 	(PN) Yar-lha-śam-po, name of a mountain and its mountain deity
yal 	(INTR) to disappear
yi 	mind; see yid 
yi ge 	(written) text; letter
yi dgas 	hungry ghost
yi mug 	(INTR) to despair, to be tormented
yig tshang 	document
yid 	1) mind; 2) heart
yin 	(COP) to be
yug 	piece of cloth
yung ba 	turmeric
yun 	time
yun ring du 	(Adv) for a long time
yum 	(HON for {ma}) mother
yur 	channel
yul 	region, country, land
yul khams 	country
yul mi 	countryman
yus 	blame
yong  v2 {yongs}	(INTR) to come
yongs su 'grol  v2 {grol}	(INTR) to become absolutely free
yongs su len 	see len 
yod 	(COP) 1) to be, to exist; 2) to have
yon tan 	1) (excellent) quality, virtue; 2) good skill
yon tan can 	excellent
yos 	hare
g.yag 	yak
g.yang 	prosperity, fortune
g.ya' 	slate
g.yar 	1) (TR) to borrow; 2) loan
g.yas 	(A) right
g.yu 	turquoise
g.yung drung 	(PN) G.yuṅ-druṅ, school of Bon religion
g.yog 	servant
g.yog  v2 {g.yogs}	(TR) to cover
g.yog mo 	female servant
g.yogs 	see g.yog 
g.yon 	left

ra 	goat
ra mda' 	help
rang 	1) self; itself; 2) own; 3) merely
rang  v2 {rangs}	(INTR) to rejoice; {rjes su yi rang} to rejoice; {yi rang} to rejoice, to be happy (about + DAT)
rang nyid 	1) just; 2) oneself
rang re 	(1PL INCL) we
rang las 	one’s own worker
rangs 	see rang 
ran 	(INTR) to be right (to do sth. + v3 )
rab 	1) the eldest; 2) the best; 2) eldest;
rab tu 	very
rab tu byed pa 	chapter (Skt. prakaraṇa)
rab byung 	a cycle of sixty years
ral gri 	sword
ral pa 	lock
ral ba 	torn
ras 	cotton cloth
ras chung pa 	(PN) Ras-čhuṅ-pa
ri 	mountain
ri dwags 	animals
ri bo 	mountain
ri bong 	hare
ri mo 	picture
ri rab 	(PN) Ri-rab, a mountain in Indian cosmology (Skt. Sumeru)
ri lu  	globula, pill
rig gnas 	science
rig pa 	knowledge
rig 'dzin 	knowledge holder (Skt. vidyādhara)
rigs 	1) family, lineage; race; state; 2) kind
rigs 	(INTR) 1) to have the way, manner, to be suitable / right / appropriate (+ GEN / TERM); 2) (MOD) must
rigs rgyud 	race
rigs ngan 	hangman
rigs mthun 	of one breed, lit. agreeing in kind
rigs pa 	method
ring  v2 {rings}	(INTR) to be long
ring po 	1) long; 2) far away
ring por 	(Adv) long
ring zhig 	long time
ring zhig tu 	(Adv) for a long time
ring la 	(Postp) when, during (+ ABS)
rid pa 	(to be) meagre, emaciated
rin che 	see rin po che 
rin po che 	(N) jewel, precious stone; (A) precious
rim gyis  	successively, in a row
rim pa 	row
rim par 	in succession
rims 	plague
ril ba 	round
ril bu 	globula, pill
ru la skyes 	(PN) Ru-la-skyes
rung 	(INTR) to be suitable; to be worth
rus pa 	bone
rus bu 	small bone
re 	(DET) each, every; single
re 	(TR) to wish
re re nas 	individually
res 	once
ro 	body, corpse
rog po 	black
rod 	constitution
rwa 	horn
rlon pa 	fresh
rlob  v2 {brlabs} v3 {brlab} v4 {rlobs}	{byin gyis rlob} (TR) to bless, to grant (one’s) blessing
brlabs 	see rlob 

lag ({pa})	hand, arm
lag mgo 	fist
lag bcud che 	excellent housewife (contextual translation)
lag dpon 	constructor
lags 	(HON for {yin}; COP) to be
lags 	(HON address) dear
lang  v2 {langs}	(INTR) to rise, stand up
langs 	see lang 
lan 	time, turn
lan 'ga' 	sometimes
lan cig phyir mi ldog pa 	lit. one who does not come back again (Skt. anāgāmin)
lab 	gossip
lam 	road, way
lar 	but
las 	1) work; 2) (previous) action (Skt. karman)
las ka  	work
las bskos 	fate
lings 	hunting
lug 	sheep
lu({ga}){ gu}	lamb
lug zla 	sheep-month
lugs 	tradition
lung 	prophecy
lung rings 	(PN) Luṅ-riṅs, a place name
lus 	1) body; 2) life
lus 	(INTR) to be remaining, left
lus stobs 	physical strength
lus med par 	completely, lit. so that there are no remains
lus srog 	body and life
legs 	(to be) good
legs 	(PN) Legs, name of a Tibetan dynasty
legs pa 	1) good, correct; 2) good deed
legs par 	well
legs par bshad pa 	aphorism, lit. well-said-one
legs bshad 	see legs par bshad pa 
len  v2 {blangs} v3 {blang} v4 {long}({sa}){}	(TR) 1) to obtain; to accept; 2) to take; 3) to take away; 4) to attract; {yongs su len} to accept
le'u 	chapter
lo 	year
lo rgyus 	account; life story
lo thog 	harvest, crop
lo ma 	leaf
log 	(INTR) to turn; {gnyid log} to fall asleep
long 	see len 
long ngam 	see long ngam rta rdzi 
long ngam rta rdzi 	(PN) Loṅ-ṅam-rta-rȷi
long ba 	blind
longs spyod 	(TR) to use
lon 	(INTR) to elapse, to pass (of time + ABS)

sha 	1) flesh, meat; 2) body
sha ko ta ka 	a tree species (Skt. śākhoṭaka)
sha bkrag 	body-beauty
sha khog 	body of a slaughtered animal
sha khri 	(PN) Śa-khri
shan 	difference
sham thabs 	lower garment
shar 	see 'char 
shi 	see 'chi 
shig sro 	louse and nit
shing 	1) wood; 2) tree
shing mkhan 	carpenter
shing rta 	chariot
shing rta chen po 	(PN) Śiṅ-rta-čhen-po
shing thog 	fruit (of trees)
shing nags 	forest
shing lo 	tree-leaf
shin tu 	very
shugs ring 	sigh
shul 	empty place
shes 	(TR) 1) to know, be aware of; 2) to recognise, to realise; (MOD) to be able, capable; can; {ngo shes} to realise, to recognise
shes pa  	intelligent
shes bya 	subject matter of knowledge
shes rab 	understanding, wisdom
shes rab ldan pa 	sage
shes rig 	knowledge
shog 	see gshegs 
shom  v2 {bshams} v3 {bsham} v4 {shoms}	(TR) to prepare
shos 	the other (of two)
shAkya thub pa 	(PN) Śākyamuni
shAkya ri brag pa 	(PN) Mountain-Śākya
gsha' ma 	righteous
gshe  v2 {gshes}	(INTR) to inveigh (against + DAT)
gshegs  v4 {shog}	(HON for {'ong} / {'gro}; INTR) to come, to go
gshegs rdzongs 	(HON) farewell ceremony
gshen rab mi bo 	(PN) Gśen-rab-mi-bo, a legendary founder of the Bon religion
gshol 	plough
bshad 	see 'chad 
bsham 	see shom 
bshig 	see 'jig 
bshes gnyen 	spiritual friend (Skt. kalyāṇamitra)

sa 	1) earth; 2) place; 3) ground; 4) terrestrial sphere
sa ga 	(PN) name of a lunar mansion (Skt. vaiśākha)
sa rta 	Earth-Horse (year)
sa phung 	mass of soil
sa bon 	seeds
sa ri 	(PN) name of a lunar mansion (Skt. svātī)
sangs 	see 'tshang 
sangs rgyas 	Buddha
sad 	(INTR) to wake up; {gnyid sad} to wake up
su 	(INT) who?
su yang 	anybody
sum cu 	thirty
sum cu dgu pa 	thirty-ninth
se 	nugget
se gol 	snapping one’s fingers
se snol nam lde 	(PN) Se-snol-nam-lde
se 'u 	pomegranate
seng ge 	lion
seng seng 	thin
sems  v2 {bsams} v3 {bsam} v4 {soms}	1) (TR) to think (about / of + DAT as + TERM); {snyam sems} to think; 2) .1) mind; 2) thought; 3) heart
sems can 	living / sentient being
sems can chen po 	(PN) Sems-čan-čhen-po
sems can dmyal ba 	hell
sems chung 	timid
sems gso 	consolation
ser ga 	crack, fissure
ser po 	yellow
sel ba 	(TR) to clean away
so nam 	agriculture
so 	1) tooth; 2) tooth
so khri btsan po 	(PN) So-khri-bcan-po
so sgra 	whistling through the teeth
so nam 	agriculture
so ba 	unhusked barley
so ma 	new
so tshis 	housekeeping
so so 	everyone
so so nas 	individually
so sor 	separately
sog 	see gsog 
sog kha 	scapula
sogs 	and so forth; such as, including, among others (+ DAT / ABS)
song 	see 'gro 
sol ba 	charcoal
sos 	see gso 
sran ma 	beans
sras 	(HON for {bu}) son
sring mo 	sister
srid 	1) (COP) 1) to exist, to be; 2) to be possible, to be able; 2) (N) dominion
srid pa 	existence
srid gsum 	triple world
srin po 	demon
srin mo 	demoness
srib khri btsan po 	(PN) Srib-khri-bcan-po
srung  v2 {bsrungs} v3 {bsrung} v4 {srungs}	(TR) to guard, to protect
sreg  v2 {bsregs} v3 {bsreg} v4 {sregs}	(TR) to burn
srog 	life
srog chags 	living / animated being, animal
sla ba 	easy
slad 	back part; {slad bzhin par} behind
slad du 	(Postp) on account of; in order to (+ GEN)
slar 	(Adv) back
slas 	retinue
slu  v2 {bslus} v3 {bslu} v4 {slus}	(TR) to entice, to deceive, to bewitch
slong  v2 {bslangs} v3 {bslang} v4 {slongs}	(TR) 1) to ask, to order; 2) to beg
slongs 	begging
slob  v2 {bslabs} v3 {bslab} v4 {slobs}	(TR) to learn, to study
slob dpon 	teacher
gsad 	see gsod 
gsan 	(HON for {nyan}; TR) to hear, to listen; {snyan gsan} to listen
gsal 	(to be) clear, visible
gsal rgyal 	(PN) Gsal-rgyal (Skt. Prasenajit)
gsung  v2 {gsungs}	(HON for {zer} / {smra}; TR) to speak, to say, to proclaim
gsung ngag 	(HON for {ngag}) wording
gsungs 	see gsung 
gsum 	three
gsum ka 	a trio, the three
gsum pa 	a few
gsum po 	a trio, a group of three
gser 	gold
gso  v2 {gsos} / {bsos} v3 {bso} v4 {sos} 	(TR) 1) to take care; to train; 2) to rear, to nourish; 3) to cure; to restore; {ngal gso} to rest, to take a rest; {sems gso} to console
gsog  / {sog} v2 {bsags} v3 {bsag} v4 {sogs}	(TR) to gather
gsod  v2 {bsad} v3 {gsad} v4 {sod}	(TR) to kill
gson mchad zlum po 	(PN) Gson-mčhad-zlum-po, name of a grave
gson po 	(A) alive
gson por 	(Adv) alive
gsol 	(HML; TR) 1) to request; 2) to speak
gsol ba 	request
bsags 	see gsog 
bsad 	see gsod 
bsam ({pa})	thought
bsams 	see sems 
bsu  v2/v4 {bsus}	(TR) to join
bso 	see gso 
bsod snyoms 	alms
bsod nams 	virtue, merit
bsrung 	see srung 
bsrungs 	see srung 
bsregs 	see sreg 
bslang 	see slong 
bslangs 	see slong 
bslab 	see slob 
bslabs 	see slob 
bslus 	see slu 

ha cang 	very
har 	suddenly
hrul ba 	tattered
lha 	1) deity; 2) lord
lha chen po 	(PN) Lha-čhen-po
lha tho tho ri snyan shal 	(PN) Lha-tho-tho-ri-sñan-śal
lha ma yin 	semi-god
lha mo 	1) goddess; 2) queen
lha ri rol po 	(PN) Lha-ri-rol-po, a mountain
lha sras 	divine son, son of the gods
lhag 	the rest, remains
lhag par 	more
lhag lus 	the rest, remains
lhag ma 	remnant
lhags 	(INTR) to come together
lhan du 	at the same time
lhab lhub 	wide, flowing
lham 	shoe
lhu 	minor share
lhung 	see ltung 
lhung bzed 	alms-bowl
lhub 	width

a khu 	paternal uncle
a ne 	aunt
a ma 	mother
a zhang 	maternal uncle
a sho legs 	(PN) Qa-śo-legs
i sho legs 	(PN) Qi-śo-legs
